term,count,topic1,topic2,topic3,source1,source1_count,source2,source2_count,source3,source3_count,source4,source4_count,source5,source5_count,source6,source6_count
LAUSD,20,,,,LA City Geo Hub,20,,,,,,,,,,
SCAG,20,,,,SCAG GIS Open Data Portal,20,,,,,,,,,,
electricity,20,infrastructure,,,California Natural Resources Agency Data Portal,20,,,,,,,,,,
census,32,census,,,California Natural Resources Agency Data Portal,19,LA City Geo Hub,10,Performance LA,2,Los Angeles Open Data,1,,,,
parks,22,,environment,,LA City Geo Hub,19,California Natural Resources Agency Data Portal,2,County of Los Angeles Data Portal,1,,,,,,
American,19,demographics,,,California Natural Resources Agency Data Portal,19,,,,,,,,,,
QHP,19,,,,California Health and Human Services Open Data Portal,19,,,,,,,,,,
Delineation,18,,,,California Natural Resources Agency Data Portal,18,,,,,,,,,,
social determinants of health,18,health,,,California Health and Human Services Open Data Portal,18,,,,,,,,,,
montane,18,,,,California Natural Resources Agency Data Portal,18,,,,,,,,,,
forests,18,environment,,,California Natural Resources Agency Data Portal,18,,,,,,,,,,
tremuloides,18,,,,California Natural Resources Agency Data Portal,18,,,,,,,,,,
communications,18,,,,LA City Geo Hub,18,,,,,,,,,,
stand,18,,,,California Natural Resources Agency Data Portal,18,,,,,,,,,,
aspen,18,,,,California Natural Resources Agency Data Portal,18,,,,,,,,,,
Aspen,18,,,,California Natural Resources Agency Data Portal,18,,,,,,,,,,
Quaking,18,,,,California Natural Resources Agency Data Portal,18,,,,,,,,,,
Pacific,18,,,,California Natural Resources Agency Data Portal,18,,,,,,,,,,
arts and recreation,18,,recreation,,LA City Geo Hub,18,,,,,,,,,,
Populus,18,,,,California Natural Resources Agency Data Portal,18,,,,,,,,,,
healthy community indicator,18,,,,California Health and Human Services Open Data Portal,18,,,,,,,,,,
Batrachoseps,17,,,,California Natural Resources Agency Data Portal,17,,,,,,,,,,
hci,17,,,,California Health and Human Services Open Data Portal,17,,,,,,,,,,
Sparrow,17,environment,,,California Natural Resources Agency Data Portal,17,,,,,,,,,,
Infrastructure,17,infrastructure,,,City of Long Beach Data Portal,17,,,,,,,,,,
Mammal,17,environment,,,California Natural Resources Agency Data Portal,17,,,,,,,,,,
gender,22,demographics,,,California Health and Human Services Open Data Portal,17,ControlPanel LA,3,County of Los Angeles Data Portal,2,,,,,,
municipal services,17,government-services,,,LA City Geo Hub,17,,,,,,,,,,
EPSDT,16,,,,California Health and Human Services Open Data Portal,16,,,,,,,,,,
DPHDOTdb,16,,,,LA City Geo Hub,16,,,,,,,,,,
2015,17,,,,California Natural Resources Agency Data Portal,16,Los Angeles Open Data,1,,,,,,,,
public safety,16,safety,,,LA City Geo Hub,16,,,,,,,,,,
Squirrel,16,environment,,,California Natural Resources Agency Data Portal,16,,,,,,,,,,
sewer,17,,,,LA City Geo Hub,16,Performance LA,1,,,,,,,,
Bat,16,environment,,,California Natural Resources Agency Data Portal,16,,,,,,,,,,
public transportation,18,transportation,,,LA City Geo Hub,16,California Health and Human Services Open Data Portal,2,,,,,,,,
sex,16,,,,California Health and Human Services Open Data Portal,16,,,,,,,,,,
Habitat,16,environment,,,California Natural Resources Agency Data Portal,16,,,,,,,,,,
Common,16,,,,California Natural Resources Agency Data Portal,16,,,,,,,,,,
SMHS,15,,,,California Health and Human Services Open Data Portal,15,,,,,,,,,,
abx,15,,,,California Health and Human Services Open Data Portal,15,,,,,,,,,,
Sierra,15,,,,California Natural Resources Agency Data Portal,15,,,,,,,,,,
ewdd,15,,,,Los Angeles Open Data,15,,,,,,,,,,
San,15,,,,California Natural Resources Agency Data Portal,15,,,,,,,,,,
Slender,15,,,,California Natural Resources Agency Data Portal,15,,,,,,,,,,
Rat,15,,,,California Natural Resources Agency Data Portal,15,,,,,,,,,,
age,16,demographics,,,California Health and Human Services Open Data Portal,15,Los Angeles Open Data,1,,,,,,,,
Pocket,15,,,,California Natural Resources Agency Data Portal,15,,,,,,,,,,
2014,16,,,,California Natural Resources Agency Data Portal,15,Los Angeles Open Data,1,,,,,,,,
AB470,15,,environment,,California Health and Human Services Open Data Portal,15,,,,,,,,,,
Health,21,health,,,LA City Geo Hub,15,City of Long Beach Data Portal,6,,,,,,,,
police,17,,government-services,,Los Angeles Open Data,14,LA City Geo Hub,2,Santa Monica Open Data,1,,,,,,
trend,14,,,,California Natural Resources Agency Data Portal,14,,,,,,,,,,
Kangaroo,14,environment,,,California Natural Resources Agency Data Portal,14,,,,,,,,,,
regulatory,14,,,,California Natural Resources Agency Data Portal,14,,,,,,,,,,
successful closures,14,,,,California Health and Human Services Open Data Portal,14,,,,,,,,,,
OSHPD,14,,,,California Health and Human Services Open Data Portal,14,,,,,,,,,,
lapd,19,safety,,,Los Angeles Open Data,14,LA City Geo Hub,4,Performance LA,1,,,,,,
oceans,14,,environment,,California Natural Resources Agency Data Portal,14,,,,,,,,,,
dor,14,,,,California Health and Human Services Open Data Portal,14,,,,,,,,,,
BSS,14,,,,LA City Geo Hub,14,,,,,,,,,,
Black,17,,,,California Natural Resources Agency Data Portal,14,California Health and Human Services Open Data Portal,3,,,,,,,,
earthquake hazards,13,natural-disasters,,,LA City Geo Hub,13,,,,,,,,,,
Office of Statewide Health Planning and Development,13,government-services,,,California Health and Human Services Open Data Portal,13,,,,,,,,,,
ogi,13,,,,California Health and Human Services Open Data Portal,13,,,,,,,,,,
Species,13,environment,,,California Natural Resources Agency Data Portal,13,,,,,,,,,,
california,15,,,,California Health and Human Services Open Data Portal,13,California Natural Resources Agency Data Portal,2,,,,,,,,
Gray,13,,,,California Natural Resources Agency Data Portal,13,,,,,,,,,,
outcomes,13,,,,Los Angeles Open Data,13,,,,,,,,,,
ron-galperin,13,,,,ControlPanel LA,13,,,,,,,,,,
Owl,13,environment,,,California Natural Resources Agency Data Portal,13,,,,,,,,,,
location,15,,,,California Natural Resources Agency Data Portal,13,LA City Geo Hub,1,ControlPanel LA,1,,,,,,
healthcare workforce,13,,community-economic-development,,California Health and Human Services Open Data Portal,13,,,,,,,,,,
2016,14,,,,California Natural Resources Agency Data Portal,13,Los Angeles Open Data,1,,,,,,,,
Tamias,13,,,,California Natural Resources Agency Data Portal,13,,,,,,,,,,
federal,13,,,,LA City Geo Hub,12,Los Angeles Open Data,1,,,,,,,,
wastewater,15,,environment,,LA City Geo Hub,12,California Natural Resources Agency Data Portal,2,Performance LA,1,,,,,,
cafr,12,,,,ControlPanel LA,12,,,,,,,,,,
Delta,12,,,,California Natural Resources Agency Data Portal,12,,,,,,,,,,
Spawning,12,,,,California Natural Resources Agency Data Portal,12,,,,,,,,,,
Chipmunk,12,,,,California Natural Resources Agency Data Portal,12,,,,,,,,,,
californicus,12,,,,California Natural Resources Agency Data Portal,12,,,,,,,,,,
indexes,12,,,,LA City Geo Hub,12,,,,,,,,,,
city-of-los-angeles,12,,,,ControlPanel LA,12,,,,,,,,,,
Desert,12,,,,California Natural Resources Agency Data Portal,12,,,,,,,,,,
Bureau of Street Services,12,government-services,,,LA City Geo Hub,12,,,,,,,,,,
inpatient discharges,12,,,,California Health and Human Services Open Data Portal,12,,,,,,,,,,
pallasii,12,,,,California Natural Resources Agency Data Portal,12,,,,,,,,,,
mykiss,12,,,,California Natural Resources Agency Data Portal,12,,,,,,,,,,
watershed,12,,water,,California Natural Resources Agency Data Portal,12,,,,,,,,,,
Clupea,12,,,,California Natural Resources Agency Data Portal,12,,,,,,,,,,
herring,12,,,,California Natural Resources Agency Data Portal,12,,,,,,,,,,
Herring,12,,,,California Natural Resources Agency Data Portal,12,,,,,,,,,,
Dipodomys,12,,,,California Natural Resources Agency Data Portal,12,,,,,,,,,,
medi-cal,11,,,,California Health and Human Services Open Data Portal,11,,,,,,,,,,
North Coast,11,,,,California Natural Resources Agency Data Portal,11,,,,,,,,,,
