term,count,topic1,topic2,topic3,source1,source1_count,source2,source2_count,source3,source3_count,source4,source4_count,source5,source5_count,source6,source6_count
bureau-of-sanitation,"=HYPERLINK(""https://lacounts-staging.l3.ckan.io/dataset?q=tags%3A%22bureau-of-sanitation%22"", ""1"")",government-services,,,"=HYPERLINK(""https://data.lacity.org"", ""Los Angeles Open Data"")","=HYPERLINK(""https://lacounts-staging.l3.ckan.io/dataset?q=harvest_source_title%3A%22Los+Angeles+Open+Data%22+AND+tags%3A%22bureau-of-sanitation%22"", ""1"")",,,,,,,,,,
bureau-of-street-lighting,"=HYPERLINK(""https://lacounts-staging.l3.ckan.io/dataset?q=tags%3A%22bureau-of-street-lighting%22"", ""1"")",government-services,,,"=HYPERLINK(""https://data.lacity.org"", ""Los Angeles Open Data"")","=HYPERLINK(""https://lacounts-staging.l3.ckan.io/dataset?q=harvest_source_title%3A%22Los+Angeles+Open+Data%22+AND+tags%3A%22bureau-of-street-lighting%22"", ""1"")",,,,,,,,,,
Porter Ranch Land Use  Transportation,"=HYPERLINK(""https://lacounts-staging.l3.ckan.io/dataset?q=tags%3A%22Porter+Ranch+Land+Use++Transportation%22"", ""1"")",,,,"=HYPERLINK(""http://geohub.lacity.org/data.json"", ""LA City Geo Hub"")","=HYPERLINK(""https://lacounts-staging.l3.ckan.io/dataset?q=harvest_source_title%3A%22LA+City+Geo+Hub%22+AND+tags%3A%22Porter+Ranch+Land+Use++Transportation%22"", ""1"")",,,,,,,,,,
Porter Ranch,"=HYPERLINK(""https://lacounts-staging.l3.ckan.io/dataset?q=tags%3A%22Porter+Ranch%22"", ""1"")",,,,"=HYPERLINK(""http://geohub.lacity.org/data.json"", ""LA City Geo Hub"")","=HYPERLINK(""https://lacounts-staging.l3.ckan.io/dataset?q=harvest_source_title%3A%22LA+City+Geo+Hub%22+AND+tags%3A%22Porter+Ranch%22"", ""1"")",,,,,,,,,,
Parking Meters,"=HYPERLINK(""https://lacounts-staging.l3.ckan.io/dataset?q=tags%3A%22Parking+Meters%22"", ""1"")",,,,"=HYPERLINK(""http://data.cityofpasadena.net/data.json"", ""City of Pasadena Data Portal"")","=HYPERLINK(""https://lacounts-staging.l3.ckan.io/dataset?q=harvest_source_title%3A%22City+of+Pasadena+Data+Portal%22+AND+tags%3A%22Parking+Meters%22"", ""1"")",,,,,,,,,,
mnioltiltus,"=HYPERLINK(""https://lacounts-staging.l3.ckan.io/dataset?q=tags%3A%22mnioltiltus%22"", ""1"")",,,,"=HYPERLINK(""https://data.cnra.ca.gov"", ""California Natural Resources Agency Data Portal"")","=HYPERLINK(""https://lacounts-staging.l3.ckan.io/dataset?q=harvest_source_title%3A%22California+Natural+Resources+Agency+Data+Portal%22+AND+tags%3A%22mnioltiltus%22"", ""1"")",,,,,,,,,,
Ponte Vista At San Pedro,"=HYPERLINK(""https://lacounts-staging.l3.ckan.io/dataset?q=tags%3A%22Ponte+Vista+At+San+Pedro%22"", ""1"")",,,,"=HYPERLINK(""http://geohub.lacity.org/data.json"", ""LA City Geo Hub"")","=HYPERLINK(""https://lacounts-staging.l3.ckan.io/dataset?q=harvest_source_title%3A%22LA+City+Geo+Hub%22+AND+tags%3A%22Ponte+Vista+At+San+Pedro%22"", ""1"")",,,,,,,,,,
police station,"=HYPERLINK(""https://lacounts-staging.l3.ckan.io/dataset?q=tags%3A%22police+station%22"", ""1"")",,,,"=HYPERLINK(""http://geohub.lacity.org/data.json"", ""LA City Geo Hub"")","=HYPERLINK(""https://lacounts-staging.l3.ckan.io/dataset?q=harvest_source_title%3A%22LA+City+Geo+Hub%22+AND+tags%3A%22police+station%22"", ""1"")",,,,,,,,,,
Plaza West,"=HYPERLINK(""https://lacounts-staging.l3.ckan.io/dataset?q=tags%3A%22Plaza+West%22"", ""1"")",,,,"=HYPERLINK(""http://datalb.longbeach.gov/data.json"", ""City of Long Beach Data Portal"")","=HYPERLINK(""https://lacounts-staging.l3.ckan.io/dataset?q=harvest_source_title%3A%22City+of+Long+Beach+Data+Portal%22+AND+tags%3A%22Plaza+West%22"", ""1"")",,,,,,,,,,
Modoc,"=HYPERLINK(""https://lacounts-staging.l3.ckan.io/dataset?q=tags%3A%22Modoc%22"", ""1"")",,,,"=HYPERLINK(""https://data.cnra.ca.gov"", ""California Natural Resources Agency Data Portal"")","=HYPERLINK(""https://lacounts-staging.l3.ckan.io/dataset?q=harvest_source_title%3A%22California+Natural+Resources+Agency+Data+Portal%22+AND+tags%3A%22Modoc%22"", ""1"")",,,,,,,,,,
quarterly-state-contact-file,"=HYPERLINK(""https://lacounts-staging.l3.ckan.io/dataset?q=tags%3A%22quarterly-state-contact-file%22"", ""1"")",,,,"=HYPERLINK(""https://data.medicaid.gov"", ""Data.Medicaid.gov"")","=HYPERLINK(""https://lacounts-staging.l3.ckan.io/dataset?q=harvest_source_title%3A%22Data.Medicaid.gov%22+AND+tags%3A%22quarterly-state-contact-file%22"", ""1"")",,,,,,,,,,
Plaza East,"=HYPERLINK(""https://lacounts-staging.l3.ckan.io/dataset?q=tags%3A%22Plaza+East%22"", ""1"")",,,,"=HYPERLINK(""http://datalb.longbeach.gov/data.json"", ""City of Long Beach Data Portal"")","=HYPERLINK(""https://lacounts-staging.l3.ckan.io/dataset?q=harvest_source_title%3A%22City+of+Long+Beach+Data+Portal%22+AND+tags%3A%22Plaza+East%22"", ""1"")",,,,,,,,,,
 Police Department,"=HYPERLINK(""https://lacounts-staging.l3.ckan.io/dataset?q=tags%3A%22+Police+Department%22"", ""1"")",,,,"=HYPERLINK(""http://geohub.lacity.org/data.json"", ""LA City Geo Hub"")","=HYPERLINK(""https://lacounts-staging.l3.ckan.io/dataset?q=harvest_source_title%3A%22LA+City+Geo+Hub%22+AND+tags%3A%22+Police+Department%22"", ""1"")",,,,,,,,,,
police department,"=HYPERLINK(""https://lacounts-staging.l3.ckan.io/dataset?q=tags%3A%22police+department%22"", ""1"")",,,,"=HYPERLINK(""http://geohub.lacity.org/data.json"", ""LA City Geo Hub"")","=HYPERLINK(""https://lacounts-staging.l3.ckan.io/dataset?q=harvest_source_title%3A%22LA+City+Geo+Hub%22+AND+tags%3A%22police+department%22"", ""1"")",,,,,,,,,,
molle,"=HYPERLINK(""https://lacounts-staging.l3.ckan.io/dataset?q=tags%3A%22molle%22"", ""1"")",,,,"=HYPERLINK(""https://data.cnra.ca.gov"", ""California Natural Resources Agency Data Portal"")","=HYPERLINK(""https://lacounts-staging.l3.ckan.io/dataset?q=harvest_source_title%3A%22California+Natural+Resources+Agency+Data+Portal%22+AND+tags%3A%22molle%22"", ""1"")",,,,,,,,,,
business-source,"=HYPERLINK(""https://lacounts-staging.l3.ckan.io/dataset?q=tags%3A%22business-source%22"", ""1"")",community-economic-development,,,"=HYPERLINK(""https://data.lacity.org"", ""Los Angeles Open Data"")","=HYPERLINK(""https://lacounts-staging.l3.ckan.io/dataset?q=harvest_source_title%3A%22Los+Angeles+Open+Data%22+AND+tags%3A%22business-source%22"", ""1"")",,,,,,,,,,
mollisSymphoricarpos,"=HYPERLINK(""https://lacounts-staging.l3.ckan.io/dataset?q=tags%3A%22mollisSymphoricarpos%22"", ""1"")",,,,"=HYPERLINK(""https://data.cnra.ca.gov"", ""California Natural Resources Agency Data Portal"")","=HYPERLINK(""https://lacounts-staging.l3.ckan.io/dataset?q=harvest_source_title%3A%22California+Natural+Resources+Agency+Data+Portal%22+AND+tags%3A%22mollisSymphoricarpos%22"", ""1"")",,,,,,,,,,
Plazas,"=HYPERLINK(""https://lacounts-staging.l3.ckan.io/dataset?q=tags%3A%22Plazas%22"", ""1"")",,,,"=HYPERLINK(""http://geohub.lacity.org/data.json"", ""LA City Geo Hub"")","=HYPERLINK(""https://lacounts-staging.l3.ckan.io/dataset?q=harvest_source_title%3A%22LA+City+Geo+Hub%22+AND+tags%3A%22Plazas%22"", ""1"")",,,,,,,,,,
Play Streets,"=HYPERLINK(""https://lacounts-staging.l3.ckan.io/dataset?q=tags%3A%22Play+Streets%22"", ""1"")",,,,"=HYPERLINK(""http://geohub.lacity.org/data.json"", ""LA City Geo Hub"")","=HYPERLINK(""https://lacounts-staging.l3.ckan.io/dataset?q=harvest_source_title%3A%22LA+City+Geo+Hub%22+AND+tags%3A%22Play+Streets%22"", ""1"")",,,,,,,,,,
plays,"=HYPERLINK(""https://lacounts-staging.l3.ckan.io/dataset?q=tags%3A%22plays%22"", ""1"")",,,,"=HYPERLINK(""http://geohub.lacity.org/data.json"", ""LA City Geo Hub"")","=HYPERLINK(""https://lacounts-staging.l3.ckan.io/dataset?q=harvest_source_title%3A%22LA+City+Geo+Hub%22+AND+tags%3A%22plays%22"", ""1"")",,,,,,,,,,
 Parking,"=HYPERLINK(""https://lacounts-staging.l3.ckan.io/dataset?q=tags%3A%22+Parking%22"", ""1"")",,,,"=HYPERLINK(""http://data.cityofpasadena.net/data.json"", ""City of Pasadena Data Portal"")","=HYPERLINK(""https://lacounts-staging.l3.ckan.io/dataset?q=harvest_source_title%3A%22City+of+Pasadena+Data+Portal%22+AND+tags%3A%22+Parking%22"", ""1"")",,,,,,,,,,
